id,name,rating,address,city,latitude,longitude
477,ice-monster-walnut-creek,4.0,2230 Oak Grove Rd,      Walnut Creek,37.93,122.02
481,cool-tea-bar-danville-4,4.0,251 Hartz Ave,      Danville,37.82,122.00
486,panache-caffe-lafayette,4.0,3653 Mt Diablo Blvd,      Lafayette,37.89,122.13
487,coco-swirl-pleasant-hill,4.0,35 Crescent Dr,      Pleasant Hill,37.95,122.06
489,hello-pho-concord,4.0,1701 Monument Blvd,      Concord,37.96,122.04
490,harvest-house-concord,4.0,2395 Monument Blvd,      Concord,37.96,122.04
500,pho-huynh-hiep-6-kevins-noodle-house-walnut-creek,4.0,2034 N Main St,      Walnut Creek,37.91,122.06
504,yogurtland-pleasant-hill,4.0,2390 Monument Blvd,      Pleasant Hill,37.94,122.06
506,tutti-frutti-montclair-oakland,4.0,2066 Mountain Blvd,      Oakland,37.83,122.21
509,lv-vietnamese-pho-and-sandwiches-vallejo,4.0,2621 Springs Rd,      Vallejo,38.11,122.21
510,korea-house-concord,4.0,1835 Willow Pass Rd,      Concord,37.98,122.04
512,lulus-kitchen-concord,4.0,1657 Willow Pass Rd,      Concord,37.97,122.04
516,viet-nam-noodle-house-antioch-4,4.0,3676 Delta Fair Blvd,      Antioch,38.00,121.84
519,ten-ren-tea-co-richmond,4.0,3288 Pierce St,      Richmond,37.90,122.31
534,sharetea-san-ramon,4.0,2441 San Ramon Valley Blvd,      San Ramon,37.77,121.98
537,8-twelve-oriental-market-san-leandro,4.0,596 E 14th St,      San Leandro,37.73,122.16
538,polaris-ice-cream-rolls-hayward,4.0,595 Southland Mall,      Hayward,37.65,122.11
552,pho-1-vallejo,4.0,3885 Sonoma Blvd,      Vallejo,38.13,122.26
561,tacos-jalisco-vallejo,4.0,3420 Sonoma Blvd,      Vallejo,38.12,122.25
562,menchies-frozen-yogurt-belmont-2,4.0,1200 El Camino Real,      Belmont,37.52,122.27
563,fashion-wok-foster-city,4.0,929 A Edgewater Blvd,      Foster City,37.55,122.27
579,cafe-sorriso-san-leandro,4.0,1501 Washington Ave,      San Leandro,37.72,122.16
582,sweet-dee-cupcakes-and-snow-ice-san-leandro,4.0,109 Pelton Ctr Way,      San Leandro,37.72,122.15
